icao24,callsign,origin_country,longitude,latitude,velocity,baro_altitude,geo_altitude,vertical_rate,hour,delay_seconds
4d239f,VIV4084 ,Malta,-111.6162,30.7464,220.49,10972.8,11529.06,0.0,14,62
a1cf0f,N2154X  ,United States,-97.1052,32.7034,47.08,373.38,403.86,-2.6,14,0
a12fda,DAL1208 ,United States,-86.8094,33.573,219.69,10972.8,11315.7,0.0,14,0
aa0533,ABX5191 ,United States,-84.6463,39.0463,64.82,289.56,274.32,-3.58,14,0
ad1697,SWA713  ,United States,-112.0126,35.4752,227.44,9144.0,9578.34,-0.33,14,0
aa0537,N745BA  ,United States,-112.1795,41.6771,43.32,1478.28,1531.62,0.65,14,0
a6141b,LFA473  ,United States,-81.6906,28.8348,63.17,1127.76,1219.2,-2.93,14,0
a5f432,ERU483  ,United States,-81.0806,29.066,46.3,1013.46,1082.04,3.9,14,0
a5a4c1,AAL1008 ,United States,-84.4421,33.6426,0.0,,,,14,0
ad036d,N938AM  ,United States,-102.5512,39.291,214.42,9113.52,9456.42,-9.43,14,0
aa184e,N75GH   ,United States,-74.059,41.2289,69.36,960.12,838.2,0.0,14,0
ad036b,ASA494  ,United States,-112.2751,41.2987,247.45,10668.0,11010.9,0.0,14,0
a46a7e,DAL1082 ,United States,-84.2877,33.6495,87.46,838.2,899.16,-5.53,14,0
406b22,BAW5E   ,United Kingdom,-71.5724,42.4492,232.46,12192.0,11971.02,0.33,14,0
a5ed58,N481LP  ,United States,-112.0276,32.6066,48.11,2247.9,2362.2,0.0,14,0
a3ad88,EJA336  ,United States,-111.9115,33.6243,0.0,,,,14,0
a8672f,N640W   ,United States,-77.1417,37.7019,273.96,12496.8,12580.62,0.33,14,0
acd03d,N9246N  ,United States,-116.9419,33.0382,51.47,601.98,609.6,0.33,14,1
a78dd2,N586SR  ,United States,-98.2526,29.4684,69.02,1828.8,1920.24,2.93,14,0
ad0373,DAL2725 ,United States,-93.2079,44.9528,135.53,1082.04,1059.18,9.75,14,1
a4ba43,N4031B  ,United States,-83.9836,30.2341,211.85,11887.2,12374.88,0.33,14,0
a1e910,N222GL  ,United States,-101.9688,33.1176,88.61,2080.26,2148.84,-0.33,14,0
abb05e,SLH852  ,United States,-107.2848,37.4774,218.58,12496.8,12961.62,0.0,14,0
c007d0,ACA1047 ,Canada,-118.4537,34.7839,248.85,10203.18,10622.28,8.45,14,0
a48499,UPS2950 ,United States,-86.6505,38.2214,206.11,8046.72,8206.74,10.73,14,0
a06646,AAL1338 ,United States,-80.8958,25.3166,192.27,4328.16,4747.26,-10.73,14,0
ace35c,N93AM   ,United States,-97.2339,47.5844,103.91,4061.46,4015.74,4.88,14,0
adf011,N99777  ,United States,-104.8097,39.4613,116.97,2377.44,2446.02,0.0,14,0
a3a152,DAL2587 ,United States,-95.3141,37.2343,223.31,10668.0,11003.28,0.0,14,0
a376ca,N322LT  ,United States,-75.0956,40.2343,61.54,647.7,556.26,-1.63,14,0
a0b65d,TW28    ,United States,-86.897,34.4083,277.57,10668.0,10995.66,-0.98,14,1
aaaf07,N788JA  ,United States,-81.9007,28.8245,55.05,647.7,685.8,2.28,14,0
a44960,UAL1859 ,United States,-96.155,30.3722,234.88,7353.3,7711.44,6.5,14,0
a3aca6,FFT3540 ,United States,-108.0289,38.4538,250.09,11277.6,11734.8,0.0,14,1
a44964,UAL1753 ,United States,-78.1708,36.7618,242.74,10668.0,10820.4,0.0,14,0
a1600b,SKW3204 ,United States,-118.1591,47.4473,182.11,3878.58,3916.68,-12.35,14,9
a123e2,UAL1066 ,United States,-95.6813,33.6046,231.71,7749.54,8115.3,-12.68,14,0
a44963,UAL1196 ,United States,-90.8363,37.5016,220.49,10972.8,11254.74,0.0,14,0
a43632,N3700Q  ,United States,-122.3347,45.461,62.09,609.6,579.12,-1.3,14,0
a911fd,N6839P  ,United States,-100.8407,32.4384,83.75,1935.48,2011.68,-0.98,14,4
a1cf6b,JBU115  ,United States,-108.7806,39.0641,203.23,10370.82,10789.92,0.33,14,0
a11cf0,N171AM  ,United States,-80.6541,26.1793,132.23,1005.84,1082.04,-2.6,14,0
a36ff7,SKW182J ,United States,-93.246,45.2725,134.33,4800.6,4770.12,10.73,14,0
a4dfb9,ERU413  ,United States,-81.1393,29.1943,52.16,533.4,586.74,-0.98,14,0
a16015,N188TH  ,United States,-86.7421,38.192,254.5,10218.42,10431.78,-7.48,14,0
a243d2,AAY1340 ,United States,-81.5025,28.7258,139.0,1737.36,1836.42,0.0,14,0
a4f9e5,N42GJ   ,United States,-88.922,32.8333,197.91,12192.0,12565.38,0.0,14,1
a84177,OPN55   ,United States,-77.8529,39.9682,177.61,6705.6,6553.2,0.0,14,0
a29326,N265SF  ,United States,-104.6323,40.4397,51.03,1562.1,1592.58,-1.63,14,0
a376d2,N322MA  ,United States,-109.847,39.6493,137.2,10965.18,11376.66,-0.33,14,8
ad4a89,N9557B  ,United States,-106.408,35.3,68.05,2590.8,2697.48,0.33,14,0
a4493d,UAL1351 ,United States,-118.7514,39.903,280.74,10378.44,10614.66,2.93,14,0
a4493c,UAL1766 ,United States,-93.2243,37.8287,208.6,10363.2,10652.76,0.0,14,0
a3acac,LXJ336  ,United States,-79.2673,29.367,205.06,13106.4,13609.32,0.0,14,0
a41c09,N364K   ,United States,-85.4227,33.9216,73.2,1905.0,1958.34,0.0,14,0
a0af94,TG65    ,United States,-103.9762,38.2392,65.39,1943.1,1973.58,-0.33,14,2
